2019-09-10 13:39:01,091 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 0/1000,  L: 3.501293, cost: 0.185907, cost_chiquare:0.127778, cost_l1:0.026821, cost_ltsv:0.000003
2019-09-10 13:39:06,010 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 50/1000,  L: 2.630573, cost: 0.066110, cost_chiquare:0.033288, cost_l1:0.032805, cost_ltsv:0.000019
2019-09-10 13:39:11,008 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 100/1000,  L: 2.630573, cost: 0.065574, cost_chiquare:0.033428, cost_l1:0.032108, cost_ltsv:0.000035
2019-09-10 13:39:15,827 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 150/1000,  L: 2.630573, cost: 0.065362, cost_chiquare:0.032833, cost_l1:0.032468, cost_ltsv:0.000060
2019-09-10 13:39:20,772 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 200/1000,  L: 2.174027, cost: 0.065320, cost_chiquare:0.032878, cost_l1:0.032358, cost_ltsv:0.000083
2019-09-10 13:39:25,421 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 250/1000,  L: 2.391430, cost: 0.065316, cost_chiquare:0.032898, cost_l1:0.032321, cost_ltsv:0.000097
2019-09-10 13:39:30,511 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 300/1000,  L: 2.630573, cost: 0.065312, cost_chiquare:0.032849, cost_l1:0.032364, cost_ltsv:0.000099
2019-09-10 13:39:35,535 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 350/1000,  L: 2.174027, cost: 0.065308, cost_chiquare:0.032875, cost_l1:0.032337, cost_ltsv:0.000096
2019-09-10 13:42:24,322 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 0/1000,  L: 3.501293, cost: 0.185907, cost_chiquare:0.127778, cost_l1:0.026821, cost_ltsv:0.000003
2019-09-10 13:42:29,105 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 50/1000,  L: 2.630573, cost: 0.066110, cost_chiquare:0.033288, cost_l1:0.032805, cost_ltsv:0.000019
2019-09-10 13:42:34,079 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 100/1000,  L: 2.630573, cost: 0.065574, cost_chiquare:0.033428, cost_l1:0.032108, cost_ltsv:0.000035
2019-09-10 13:42:39,122 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 150/1000,  L: 2.630573, cost: 0.065362, cost_chiquare:0.032833, cost_l1:0.032468, cost_ltsv:0.000060
2019-09-10 13:42:44,137 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 200/1000,  L: 2.174027, cost: 0.065320, cost_chiquare:0.032878, cost_l1:0.032358, cost_ltsv:0.000083
2019-09-10 13:42:49,244 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 250/1000,  L: 2.391430, cost: 0.065316, cost_chiquare:0.032898, cost_l1:0.032321, cost_ltsv:0.000097
2019-09-10 13:42:54,419 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 300/1000,  L: 2.630573, cost: 0.065312, cost_chiquare:0.032849, cost_l1:0.032364, cost_ltsv:0.000099
2019-09-10 13:42:59,304 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 350/1000,  L: 2.174027, cost: 0.065308, cost_chiquare:0.032875, cost_l1:0.032337, cost_ltsv:0.000096
