2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 21:51:36,579 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.302028, cost_chiquare:31.193418, cost_l1:0.005922, cost_ltsv:0.000203
2019-09-05 21:51:40,767 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.027748, cost_chiquare:0.026607, cost_l1:0.001091, cost_ltsv:0.000034
2019-09-05 21:51:44,893 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 1.948717, cost: 0.026725, cost_chiquare:0.025601, cost_l1:0.001103, cost_ltsv:0.000026
2019-09-05 21:51:49,177 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.026391, cost_chiquare:0.025284, cost_l1:0.001077, cost_ltsv:0.000026
2019-09-05 21:51:53,398 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.026252, cost_chiquare:0.025134, cost_l1:0.001088, cost_ltsv:0.000028
2019-09-05 21:51:57,576 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.026213, cost_chiquare:0.025097, cost_l1:0.001087, cost_ltsv:0.000029
2019-09-05 21:52:01,846 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.357948, cost: 0.026204, cost_chiquare:0.025089, cost_l1:0.001085, cost_ltsv:0.000030
2019-09-05 21:52:06,181 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.026197, cost_chiquare:0.025080, cost_l1:0.001087, cost_ltsv:0.000030
2019-09-05 21:52:10,478 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.026189, cost_chiquare:0.025074, cost_l1:0.001086, cost_ltsv:0.000029
2019-09-05 21:52:14,780 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 2.357948, cost: 0.026183, cost_chiquare:0.025068, cost_l1:0.001086, cost_ltsv:0.000029
2019-09-05 21:52:19,036 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 2.593742, cost: 0.026178, cost_chiquare:0.025062, cost_l1:0.001086, cost_ltsv:0.000029
2019-09-05 21:52:23,135 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.771561, cost: 0.026174, cost_chiquare:0.025058, cost_l1:0.001086, cost_ltsv:0.000030
2019-09-05 21:52:27,309 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.610510, cost: 0.026170, cost_chiquare:0.025053, cost_l1:0.001086, cost_ltsv:0.000031
2019-09-05 21:52:31,510 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.610510, cost: 0.026167, cost_chiquare:0.025049, cost_l1:0.001086, cost_ltsv:0.000032
2019-09-05 21:52:35,797 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 2.143589, cost: 0.026165, cost_chiquare:0.025046, cost_l1:0.001086, cost_ltsv:0.000033
2019-09-05 21:52:39,878 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.464100, cost: 0.026163, cost_chiquare:0.025044, cost_l1:0.001086, cost_ltsv:0.000034
2019-09-05 21:52:44,137 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.771561, cost: 0.026162, cost_chiquare:0.025042, cost_l1:0.001086, cost_ltsv:0.000035
2019-09-05 21:52:48,308 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.026161, cost_chiquare:0.025040, cost_l1:0.001086, cost_ltsv:0.000035
