MSE, MSE_std, l1, ltsv, chi, l1_term, ltsv_term
4.296832e-06, 2.727131e-06, 1.000000e-05, 1.000000e-05, 3.181547e-02, 1.082221e-03, 4.485725e-05
4.273576e-06, 2.715438e-06, 1.000000e-05, 1.000000e-04, 3.189555e-02, 1.081542e-03, 1.038709e-04
4.245091e-06, 2.683258e-06, 1.000000e-05, 1.000000e-03, 3.209099e-02, 1.082448e-03, 4.655163e-04
4.253959e-06, 2.614726e-06, 1.000000e-05, 1.000000e-02, 3.284107e-02, 1.070610e-03, 1.999357e-03
4.311598e-06, 2.736631e-06, 1.000000e-04, 1.000000e-05, 3.191178e-02, 1.064767e-02, 4.436943e-05
4.289712e-06, 2.728732e-06, 1.000000e-04 1.000000e-04, 3.199561e-02, 1.064264e-02, 1.011323e-04
4.262943e-06, 2.704344e-06, 1.000000e-04, 1.000000e-03, 3.217571e-02, 1.065610e-02, 4.469295e-04
4.295042e-06, 2.654806e-06, 1.000000e-04, 1.000000e-02, 3.299382e-02, 1.055653e-02, 1.863546e-03
5.925656e-06, 3.513523e-06, 1.000000e-03, 1.000000e-05, 4.141199e-02, 8.914234e-02, 5.739984e-05
5.856473e-06, 3.469596e-06, 1.000000e-03, 1.000000e-04, 4.137872e-02, 8.929756e-02, 1.146635e-04
5.807948e-06, 3.439506e-06, 1.000000e-03, 1.000000e-03, 4.143009e-02, 8.949486e-02, 3.650127e-04
5.743453e-06, 3.372604e-06, 1.000000e-03, 1.000000e-02, 4.180275e-02, 8.981624e-02, 1.121941e-03
