2019-09-05 23:52:20,325 INFO <module> :Start CV
2019-09-05 23:52:20,996 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.296445, cost_chiquare:31.194271, cost_l1:0.000001, cost_ltsv:0.000203
2019-09-05 23:52:25,147 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.026663, cost_chiquare:0.026617, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-05 23:52:29,301 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.025636, cost_chiquare:0.025617, cost_l1:0.000000, cost_ltsv:0.000026
2019-09-05 23:52:33,491 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 150/1000,  L: 1.948717, cost: 0.025302, cost_chiquare:0.025272, cost_l1:0.000000, cost_ltsv:0.000027
2019-09-05 23:52:37,776 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 200/1000,  L: 2.593742, cost: 0.025165, cost_chiquare:0.025136, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-05 23:52:41,942 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 250/1000,  L: 2.357948, cost: 0.025127, cost_chiquare:0.025097, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:52:46,200 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 300/1000,  L: 2.853117, cost: 0.025117, cost_chiquare:0.025087, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:52:50,351 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.025110, cost_chiquare:0.025080, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:52:54,527 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 2.143589, cost: 0.025102, cost_chiquare:0.025073, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:52:58,796 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 2.593742, cost: 0.025096, cost_chiquare:0.025067, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:53:02,904 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 1.948717, cost: 0.025091, cost_chiquare:0.025062, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:53:07,190 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 2.593742, cost: 0.025087, cost_chiquare:0.025057, cost_l1:0.000000, cost_ltsv:0.000030
