MSE, MSE_std, l1, ltsv, chi, l1_term, ltsv_term
4.296895e-06, 2.726455e-06, 1.000000e-09, 1.000000e-05, 3.181449e-02, 1.084153e-07, 4.487514e-05
4.273705e-06, 2.715664e-06, 1.000000e-09, 1.000000e-04, 3.189398e-02, 1.083486e-07, 1.041856e-04
4.246604e-06, 2.684935e-06, 1.000000e-09, 1.000000e-03, 3.209058e-02, 1.084317e-07, 4.679994e-04
4.253082e-06, 2.613453e-06, 1.000000e-09, 1.000000e-02, 3.283223e-02, 1.072312e-07, 2.014430e-03
4.746036e-06, 2.639592e-06, 1.000000e-09, 1.000000e-01, 3.716529e-02, 9.943588e-08, 7.239329e-03
4.296885e-06, 2.726377e-06, 1.000000e-08, 1.000000e-05, 3.181462e-02, 1.084164e-06, 4.480402e-05
4.274101e-06, 2.715894e-06, 1.000000e-08, 1.000000e-04, 3.189401e-02, 1.083493e-06, 1.041487e-04
4.241921e-06, 2.680840e-06, 1.000000e-08, 1.000000e-03, 3.209053e-02, 1.084267e-06, 4.680169e-04
4.253757e-06, 2.613777e-06, 1.000000e-08, 1.000000e-02, 3.283224e-02, 1.072311e-06, 2.014416e-03
4.746041e-06, 2.639594e-06, 1.000000e-08, 1.000000e-01, 3.716533e-02, 9.943579e-07, 7.239291e-03
4.296916e-06, 2.726504e-06, 1.000000e-07, 1.000000e-05, 3.181450e-02, 1.084140e-05, 4.487601e-05
4.273551e-06, 2.715562e-06, 1.000000e-07, 1.000000e-04, 3.189399e-02, 1.083468e-05, 1.041846e-04
4.242119e-06, 2.681180e-06, 1.000000e-07, 1.000000e-03, 3.209050e-02, 1.084277e-05, 4.680310e-04
4.253420e-06, 2.613981e-06, 1.000000e-07, 1.000000e-02, 3.283230e-02, 1.072287e-05, 2.014224e-03
4.746087e-06, 2.639615e-06, 1.000000e-07, 1.000000e-01, 3.716604e-02, 9.943415e-06, 7.238601e-03
4.296658e-06, 2.726456e-06, 1.000000e-06, 1.000000e-05, 3.181448e-02, 1.083956e-04, 4.488192e-05
4.274271e-06, 2.715399e-06, 1.000000e-06, 1.000000e-04, 3.189410e-02, 1.083256e-04, 1.041033e-04
4.242265e-06, 2.681174e-06, 1.000000e-06, 1.000000e-03, 3.209043e-02, 1.084166e-04, 4.678934e-04
4.253266e-06, 2.613208e-06, 1.000000e-06, 1.000000e-02, 3.283293e-02, 1.072117e-04, 2.012863e-03
4.746584e-06, 2.639606e-06, 1.000000e-06, 1.000000e-01, 3.716992e-02, 9.942483e-05, 7.234850e-03
