2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:00:42,798 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.970162, cost_chiquare:29.792981, cost_l1:0.005797, cost_ltsv:0.000203
2019-09-05 16:00:47,327 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031333, cost_chiquare:0.030200, cost_l1:0.001075, cost_ltsv:0.000034
2019-09-05 16:00:51,888 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030399, cost_chiquare:0.029280, cost_l1:0.001098, cost_ltsv:0.000027
2019-09-05 16:00:56,773 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.030056, cost_chiquare:0.028952, cost_l1:0.001073, cost_ltsv:0.000027
2019-09-05 16:01:00,991 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.029913, cost_chiquare:0.028800, cost_l1:0.001083, cost_ltsv:0.000028
2019-09-05 16:01:05,072 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 1.948717, cost: 0.029868, cost_chiquare:0.028755, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 16:01:08,997 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.029854, cost_chiquare:0.028742, cost_l1:0.001081, cost_ltsv:0.000031
2019-09-05 16:01:12,926 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.029848, cost_chiquare:0.028734, cost_l1:0.001083, cost_ltsv:0.000031
2019-09-05 16:01:16,716 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.771561, cost: 0.029840, cost_chiquare:0.028727, cost_l1:0.001082, cost_ltsv:0.000031
2019-09-05 16:01:20,761 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 2.357948, cost: 0.029833, cost_chiquare:0.028720, cost_l1:0.001082, cost_ltsv:0.000031
2019-09-05 16:01:24,579 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.948717, cost: 0.029828, cost_chiquare:0.028713, cost_l1:0.001083, cost_ltsv:0.000032
2019-09-05 16:01:28,504 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.948717, cost: 0.029823, cost_chiquare:0.028708, cost_l1:0.001082, cost_ltsv:0.000033
2019-09-05 16:01:32,265 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.210000, cost: 0.029819, cost_chiquare:0.028702, cost_l1:0.001082, cost_ltsv:0.000034
2019-09-05 16:01:36,218 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.610510, cost: 0.029815, cost_chiquare:0.028698, cost_l1:0.001082, cost_ltsv:0.000036
2019-09-05 16:01:40,370 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.610510, cost: 0.029813, cost_chiquare:0.028694, cost_l1:0.001082, cost_ltsv:0.000037
2019-09-05 16:01:45,679 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.771561, cost: 0.029811, cost_chiquare:0.028690, cost_l1:0.001082, cost_ltsv:0.000038
2019-09-05 16:01:51,063 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.771561, cost: 0.029809, cost_chiquare:0.028687, cost_l1:0.001082, cost_ltsv:0.000039
