MSE, MSE_std, l1, ltsv, chi, l1_term, ltsv_term
3.286912e-06, 1.982205e-07, 1.000000e-05, 1.000000e-05, 3.181547e-02, 1.082221e-03, 4.485725e-05
3.293634e-06, 1.374987e-07, 1.000000e-05, 1.000000e-04, 3.189555e-02, 1.081542e-03, 1.038709e-04
3.308914e-06, 1.548544e-07, 1.000000e-05, 1.000000e-03, 3.209099e-02, 1.082448e-03, 4.655163e-04
3.387267e-06, 9.411368e-08, 1.000000e-05, 1.000000e-02, 3.284107e-02, 1.070610e-03, 1.999357e-03
3.301384e-06, 1.815772e-07, 1.000000e-04, 1.000000e-05, 3.191178e-02, 1.064767e-02, 4.436943e-05
3.303361e-06, 1.485383e-07, 1.000000e-04, 1.000000e-04, 3.199561e-02, 1.064264e-02, 1.011323e-04
3.321104e-06, 2.016004e-07, 1.000000e-04, 1.000000e-03, 3.217571e-02, 1.065610e-02, 4.469295e-04
3.406633e-06, 1.143267e-07, 1.000000e-04, 1.000000e-02, 3.299382e-02, 1.055653e-02, 1.863546e-03
4.512778e-06, 2.630577e-07, 1.000000e-03, 1.000000e-05, 4.141199e-02, 8.914234e-02, 5.739984e-05
4.497921e-06, 2.732989e-07, 1.000000e-03, 1.000000e-04, 4.137872e-02, 8.929756e-02, 1.146635e-04
4.515838e-06, 1.761156e-07, 1.000000e-03, 1.000000e-03, 4.143009e-02, 8.949486e-02, 3.650127e-04
4.509833e-06, 1.260727e-07, 1.000000e-03, 1.000000e-02, 4.180275e-02, 8.981624e-02, 1.121941e-03
