2019-09-09 17:37:18,910 INFO <module> :Start solver w/o CV
2019-09-09 17:37:19,489 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.747883, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000204
2019-09-09 17:37:24,069 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 50/1000,  L: 2.143589, cost: 0.132765, cost_chiquare:0.040283, cost_l1:0.092482, cost_ltsv:0.000022
2019-09-09 17:37:28,845 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 100/1000,  L: 2.357948, cost: 0.131212, cost_chiquare:0.040930, cost_l1:0.090291, cost_ltsv:0.000015
2019-09-09 17:37:33,582 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.130879, cost_chiquare:0.042307, cost_l1:0.088573, cost_ltsv:0.000016
2019-09-09 17:37:38,333 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 200/1000,  L: 2.853117, cost: 0.130731, cost_chiquare:0.041099, cost_l1:0.089631, cost_ltsv:0.000019
2019-09-09 17:37:43,048 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 250/1000,  L: 2.143589, cost: 0.130684, cost_chiquare:0.041429, cost_l1:0.089238, cost_ltsv:0.000022
2019-09-09 17:37:47,826 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 300/1000,  L: 1.771561, cost: 0.130668, cost_chiquare:0.041344, cost_l1:0.089301, cost_ltsv:0.000024
2019-09-09 17:37:52,795 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 350/1000,  L: 1.948717, cost: 0.130655, cost_chiquare:0.041425, cost_l1:0.089203, cost_ltsv:0.000027
2019-09-09 17:37:57,788 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 400/1000,  L: 2.143589, cost: 0.130644, cost_chiquare:0.041376, cost_l1:0.089238, cost_ltsv:0.000030
2019-09-09 17:38:02,665 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 450/1000,  L: 2.143589, cost: 0.130633, cost_chiquare:0.041421, cost_l1:0.089179, cost_ltsv:0.000034
2019-09-09 17:38:07,607 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 500/1000,  L: 2.593742, cost: 0.130626, cost_chiquare:0.041400, cost_l1:0.089188, cost_ltsv:0.000038
2019-09-09 17:38:12,490 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 550/1000,  L: 1.771561, cost: 0.130621, cost_chiquare:0.041425, cost_l1:0.089153, cost_ltsv:0.000043
2019-09-09 17:38:17,417 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 600/1000,  L: 1.464100, cost: 0.130616, cost_chiquare:0.041409, cost_l1:0.089158, cost_ltsv:0.000049
2019-09-09 17:38:22,648 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 650/1000,  L: 2.593742, cost: 0.130613, cost_chiquare:0.041423, cost_l1:0.089136, cost_ltsv:0.000054
2019-09-09 17:38:26,646 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.748033, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000364
2019-09-09 17:38:31,768 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 50/1000,  L: 2.143589, cost: 0.132764, cost_chiquare:0.040485, cost_l1:0.092336, cost_ltsv:0.000040
2019-09-09 17:38:37,152 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 100/1000,  L: 2.357948, cost: 0.131226, cost_chiquare:0.040925, cost_l1:0.090297, cost_ltsv:0.000026
2019-09-09 17:38:42,395 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 150/1000,  L: 1.948717, cost: 0.130892, cost_chiquare:0.042268, cost_l1:0.088598, cost_ltsv:0.000028
2019-09-09 17:38:47,589 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 200/1000,  L: 2.357948, cost: 0.130744, cost_chiquare:0.041106, cost_l1:0.089619, cost_ltsv:0.000032
2019-09-09 17:38:52,825 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 250/1000,  L: 2.593742, cost: 0.130700, cost_chiquare:0.041429, cost_l1:0.089238, cost_ltsv:0.000036
2019-09-09 17:38:58,129 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 300/1000,  L: 2.143589, cost: 0.130686, cost_chiquare:0.041338, cost_l1:0.089308, cost_ltsv:0.000041
2019-09-09 17:39:03,409 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 350/1000,  L: 2.357948, cost: 0.130676, cost_chiquare:0.041421, cost_l1:0.089211, cost_ltsv:0.000044
2019-09-09 17:39:08,500 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 400/1000,  L: 1.771561, cost: 0.130666, cost_chiquare:0.041376, cost_l1:0.089242, cost_ltsv:0.000048
2019-09-09 17:39:13,610 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 450/1000,  L: 1.464100, cost: 0.130658, cost_chiquare:0.041420, cost_l1:0.089187, cost_ltsv:0.000052
2019-09-09 17:39:19,070 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 500/1000,  L: 2.357948, cost: 0.130654, cost_chiquare:0.041400, cost_l1:0.089198, cost_ltsv:0.000057
2019-09-09 17:39:24,262 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 550/1000,  L: 2.143589, cost: 0.130651, cost_chiquare:0.041414, cost_l1:0.089176, cost_ltsv:0.000061
2019-09-09 17:39:29,629 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 600/1000,  L: 1.331000, cost: 0.130649, cost_chiquare:0.041410, cost_l1:0.089173, cost_ltsv:0.000066
2019-09-09 17:39:31,469 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.748301, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000647
2019-09-09 17:39:36,430 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 50/1000,  L: 2.357948, cost: 0.132782, cost_chiquare:0.040033, cost_l1:0.092565, cost_ltsv:0.000070
2019-09-09 17:39:41,673 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 100/1000,  L: 2.357948, cost: 0.131243, cost_chiquare:0.040922, cost_l1:0.090298, cost_ltsv:0.000046
2019-09-09 17:39:47,018 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 150/1000,  L: 1.948717, cost: 0.130911, cost_chiquare:0.042294, cost_l1:0.088571, cost_ltsv:0.000047
2019-09-09 17:39:52,696 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 200/1000,  L: 2.357948, cost: 0.130767, cost_chiquare:0.041073, cost_l1:0.089651, cost_ltsv:0.000053
