2019-09-09 18:16:30,023 INFO <module> :Start solver w/o CV
2019-09-09 18:16:30,622 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.747883, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000204
2019-09-09 18:16:35,346 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 50/1000,  L: 2.143589, cost: 0.132765, cost_chiquare:0.040283, cost_l1:0.092482, cost_ltsv:0.000022
2019-09-09 18:16:40,203 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 100/1000,  L: 2.357948, cost: 0.131212, cost_chiquare:0.040930, cost_l1:0.090291, cost_ltsv:0.000015
2019-09-09 18:16:44,970 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.130879, cost_chiquare:0.042307, cost_l1:0.088573, cost_ltsv:0.000016
2019-09-09 18:16:49,918 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 200/1000,  L: 2.853117, cost: 0.130731, cost_chiquare:0.041099, cost_l1:0.089631, cost_ltsv:0.000019
2019-09-09 18:16:54,530 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 250/1000,  L: 2.143589, cost: 0.130684, cost_chiquare:0.041429, cost_l1:0.089238, cost_ltsv:0.000022
2019-09-09 18:16:59,131 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 300/1000,  L: 1.771561, cost: 0.130668, cost_chiquare:0.041344, cost_l1:0.089301, cost_ltsv:0.000024
2019-09-09 18:17:03,801 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 350/1000,  L: 1.948717, cost: 0.130655, cost_chiquare:0.041425, cost_l1:0.089203, cost_ltsv:0.000027
2019-09-09 18:17:08,446 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 400/1000,  L: 2.143589, cost: 0.130644, cost_chiquare:0.041376, cost_l1:0.089238, cost_ltsv:0.000030
2019-09-09 18:17:13,089 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 450/1000,  L: 2.143589, cost: 0.130633, cost_chiquare:0.041421, cost_l1:0.089179, cost_ltsv:0.000034
2019-09-09 18:17:17,775 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 500/1000,  L: 2.593742, cost: 0.130626, cost_chiquare:0.041400, cost_l1:0.089188, cost_ltsv:0.000038
2019-09-09 18:17:22,287 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 550/1000,  L: 1.771561, cost: 0.130621, cost_chiquare:0.041425, cost_l1:0.089153, cost_ltsv:0.000043
2019-09-09 18:17:26,890 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 600/1000,  L: 1.464100, cost: 0.130616, cost_chiquare:0.041409, cost_l1:0.089158, cost_ltsv:0.000049
2019-09-09 18:17:31,874 INFO mfista_func_healpix :l1:-3.00, ltsv:-5.00, Current iteration: 650/1000,  L: 2.593742, cost: 0.130613, cost_chiquare:0.041423, cost_l1:0.089136, cost_ltsv:0.000054
2019-09-09 18:17:35,712 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.748033, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000364
2019-09-09 18:17:40,403 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 50/1000,  L: 2.143589, cost: 0.132764, cost_chiquare:0.040485, cost_l1:0.092336, cost_ltsv:0.000040
2019-09-09 18:17:45,438 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 100/1000,  L: 2.357948, cost: 0.131226, cost_chiquare:0.040925, cost_l1:0.090297, cost_ltsv:0.000026
2019-09-09 18:17:50,428 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 150/1000,  L: 1.948717, cost: 0.130892, cost_chiquare:0.042268, cost_l1:0.088598, cost_ltsv:0.000028
2019-09-09 18:17:55,561 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 200/1000,  L: 2.357948, cost: 0.130744, cost_chiquare:0.041106, cost_l1:0.089619, cost_ltsv:0.000032
2019-09-09 18:18:00,671 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 250/1000,  L: 2.593742, cost: 0.130700, cost_chiquare:0.041429, cost_l1:0.089238, cost_ltsv:0.000036
2019-09-09 18:18:05,649 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 300/1000,  L: 2.143589, cost: 0.130686, cost_chiquare:0.041338, cost_l1:0.089308, cost_ltsv:0.000041
2019-09-09 18:18:10,748 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 350/1000,  L: 2.357948, cost: 0.130676, cost_chiquare:0.041421, cost_l1:0.089211, cost_ltsv:0.000044
2019-09-09 18:18:15,685 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 400/1000,  L: 1.771561, cost: 0.130666, cost_chiquare:0.041376, cost_l1:0.089242, cost_ltsv:0.000048
2019-09-09 18:18:20,668 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 450/1000,  L: 1.464100, cost: 0.130658, cost_chiquare:0.041420, cost_l1:0.089187, cost_ltsv:0.000052
2019-09-09 18:18:25,905 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 500/1000,  L: 2.357948, cost: 0.130654, cost_chiquare:0.041400, cost_l1:0.089198, cost_ltsv:0.000057
2019-09-09 18:18:30,912 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 550/1000,  L: 2.143589, cost: 0.130651, cost_chiquare:0.041414, cost_l1:0.089176, cost_ltsv:0.000061
2019-09-09 18:18:35,761 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.75, Current iteration: 600/1000,  L: 1.331000, cost: 0.130649, cost_chiquare:0.041410, cost_l1:0.089173, cost_ltsv:0.000066
2019-09-09 18:18:37,432 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.748301, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.000647
2019-09-09 18:18:42,288 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 50/1000,  L: 2.357948, cost: 0.132782, cost_chiquare:0.040033, cost_l1:0.092565, cost_ltsv:0.000070
2019-09-09 18:18:47,361 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 100/1000,  L: 2.357948, cost: 0.131243, cost_chiquare:0.040922, cost_l1:0.090298, cost_ltsv:0.000046
2019-09-09 18:18:52,364 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 150/1000,  L: 1.948717, cost: 0.130911, cost_chiquare:0.042294, cost_l1:0.088571, cost_ltsv:0.000047
2019-09-09 18:18:57,499 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 200/1000,  L: 2.357948, cost: 0.130767, cost_chiquare:0.041073, cost_l1:0.089651, cost_ltsv:0.000053
2019-09-09 18:19:02,416 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 250/1000,  L: 1.771561, cost: 0.130727, cost_chiquare:0.041464, cost_l1:0.089205, cost_ltsv:0.000059
2019-09-09 18:19:07,549 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 300/1000,  L: 2.143589, cost: 0.130715, cost_chiquare:0.041314, cost_l1:0.089337, cost_ltsv:0.000065
2019-09-09 18:19:12,584 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 350/1000,  L: 1.948717, cost: 0.130706, cost_chiquare:0.041431, cost_l1:0.089207, cost_ltsv:0.000068
