l1, ltsv, chi, l1_term, ltsv_term
1.000000e-03, 1.000000e-05, 4.141199e-02, 8.914234e-02, 5.739984e-05
1.000000e-03, 1.778279e-05, 4.140748e-02, 8.917474e-02, 6.635358e-05
1.000000e-03, 3.162278e-05, 4.139412e-02, 8.922049e-02, 7.560571e-05
1.000000e-03, 5.623413e-05, 4.137001e-02, 8.927222e-02, 9.271040e-05
1.000000e-03, 1.000000e-04, 4.137872e-02, 8.929756e-02, 1.146635e-04
1.000000e-03, 1.778279e-04, 4.134403e-02, 8.937253e-02, 1.496504e-04
1.000000e-03, 3.162278e-04, 4.134890e-02, 8.941712e-02, 2.021748e-04
1.000000e-03, 5.623413e-04, 4.136415e-02, 8.946702e-02, 2.747503e-04
1.000000e-03, 1.000000e-03, 4.143009e-02, 8.949486e-02, 3.650127e-04
1.000000e-03, 1.778279e-03, 4.187928e-02, 8.918547e-02, 4.692417e-04
1.000000e-03, 3.162278e-03, 4.120768e-02, 9.003053e-02, 6.261714e-04
1.000000e-03, 5.623413e-03, 4.246910e-02, 8.894541e-02, 7.767853e-04
1.000000e-03, 1.000000e-02, 4.180275e-02, 8.981624e-02, 1.121941e-03
1.000000e-03, 1.778279e-02, 4.258222e-02, 8.926121e-02, 1.695693e-03
1.000000e-03, 3.162278e-02, 4.270440e-02, 8.945520e-02, 2.438515e-03
1.000000e-03, 5.623413e-02, 4.339617e-02, 8.932012e-02, 3.584291e-03
1.000000e-03, 1.000000e-01, 4.455389e-02, 8.908730e-02, 5.150459e-03
1.000000e-03, 1.778279e-01, 4.616462e-02, 8.901991e-02, 7.117950e-03
1.000000e-03, 3.162278e-01, 4.833390e-02, 8.907729e-02, 9.689159e-03
1.000000e-03, 5.623413e-01, 5.104051e-02, 8.919863e-02, 1.344361e-02
1.000000e-03, 1.000000e+00, 5.478179e-02, 8.896243e-02, 1.926072e-02
